fruns,last_avail_year,brand_name,brand_name_sanitized,franchisor,franchisor_sanitized,naics_code,naics_description
14811,2010,528,528,"Health Tech Solutions USA, LLC",health tech solutions,713940,Fitness and Recreational Sports Centers
10010,2010,1-800-BOOK-A-LIMO,1 800 book a limo,"1-800-Book-A-Limo Franchise, LLC",1 800 book a limo,485320,Limousine Service
10008,2007,1-800-DRYCARPET,1 800 drycarpet,"1-800-DRYCARPET Systems, Inc.",1 800 drycarpet,561740,Carpet and Upholstery Cleaning Services
10011,2012,1-800 Dryclean (now under Martinizing Dry Cleaners),1 800 dryclean,"1-800-Dryclean, LLC",1 800 dryclean,812320,Drycleaning and Laundry Services (except Coin-Operated)
10012,2023,1-800-Flowers.com,1 800 flowers,"1-800-Flowers.com Franchise Co., Inc.",1 800 flowerscom,453110,Florists
10013,2023,1-800-GOT-JUNK?,1 800 got junk,1-800-GOT-JUNK? LLC,1 800 got junk,562111,Solid Waste Collection
14932,2023,1-800-JUNKPRO,1 800 junkpro,"1-800-JUNKPRO, LLC",1 800 junkpro,562111,Solid Waste Collection
10009,2009,1-800 MR. RUBBISH,1 800 mr rubbish,"1-800 Mr. Rubbish Franchising, LLC",1 800 mr rubbish,238320,Painting and Wall Covering Contractors
10014,2009,1-800-PACK-RAT,1 800 pack rat,"1-800-Pack-Rat, LLC",1 800 pack rat,493190,Other Warehousing and Storage
16311,2023,1-800-Packouts,1 800 packouts,"1800Packouts Franchise, LLC",1800packouts,236118,Residential Remodelers
10015,2023,1-800-Plumber,1 800 plumber,"1-800-Services, LLC",1 800 services,238220,Plumbing
10016,2023,1-800-Radiator & A/C,1 800 radiator a c,1-800-Radiator Franchisor SPV LLC,1 800 radiator,441310,Automotive Parts and Accessories Stores
17955,2023,1-800-STRIPER,1 800 striper,"Striper Industries, Inc.",striper industries,238990,All Other Specialty Trade Contractors
14455,2012,1-800-TAXICAB,1 800 taxicab,"Widestream Enterprises, Inc.",widestream enterprises,485320,Limousine Service
18660,2023,1-800-TEXTILES,1 800 textiles,"1-800-TEXTILES Franchises, LLC",1 800 textiles,313310,Textile and Fabric Finishing Mills
10017,2023,1-800 Water Damage,1 800 water damage,"1-800 Water Damage International, LLC",1 800 water damage,561740,Carpet and Upholstery Cleaning Services
18169,2023,1 Percent Lists,1 percent lists,"1 Percent Lists Franchises, LLC",1 percent lists,531210,Offices of Real Estate Agents and Brokers
14456,2014,1 Stop Pool Pros,1 stop pool pros,"One Stop Pool Pros, Inc.",one stop pool pros,238390,Other Building Finishing Contractors
18675,2023,1-Tom-Plumber,1 tom plumber,1 Tom Plumber Global Inc.,1 tom plumber global,238220,Plumbing
17259,2023,10-4 TOW,10 4 tow,10-4 TOW LLC,10 4 tow,488410,Motor Vehicle Towing
10004,2008,10/MINUTE MANICURE/10 MINUTE MANICURE,10 minute manicure,"10MM Franchising, LLC",10mm,812112,Beauty Salons
10003,2009,10 TIL 2,10 til 2,"10 Til 2 Franchising, LLC",10 til 2,561320,Temporary Help Services
17340,2023,100% Chiropractic,100 chiropractic,"Tactic Franchising, LLC",tactic,621310,Offices of Chiropractors
15472,2014,100 Montaditos,100 montaditos,100 M Franchise LLC,100 m,722511,Full-Service Restaurants
15860,2022,1000 Degrees Pizza Salad Wings,1000 degrees pizza salad wings,"Judge Enterprises, LLC",judge enterprises,722513,Limited-Service Restaurants
10005,2023,101 Mobility,101 mobility,"101 Mobility Franchise Systems, LLC",101 mobility,446199,All Other Health and Personal Care Stores
18838,2023,10X Business Advisor,10x business advisor,10X Business Advisor Franchising LLC,10x business advisor,541618,Other Management Consulting Services
18636,2023,10X Health System,10x health,10X Health Franchising LLC,10x health,621399,Offices of All Other Miscellaneous Health Practitioners
16390,2015,123 Dollar Stores USA,123 dollar stores,"Affatato 1 Services, LLC",affatato 1 services,452319,All Other General Merchandise Stores
10006,2007,123 FIT,123 fit,"123 Fit Franchising, LLC",123 fit,713940,Fitness and Recreational Sports Centers
16829,2019,14 Moves,14 moves,"14 Moves International, LLC",14 moves,531210,Offices of Real Estate Agents and Brokers
14855,2023,16 Handles,16 handles,16 Handles Franchising LLC,16 handles,722515,Snack and Nonalcoholic Beverage Bars
10007,2017,18|8 Fine Men's Salons,18 8,"Ultimate Franchises, Inc.",ultimate,812111,Barber Shops
15990,2023,1Heart Caregiver Services,1heart caregiver services,1HCS Franchising LLC,1hcs,621610,Home Health Care Services
17543,2023,1st Class Real Estate,1st class real estate,"1st Class Franchising, LLC",1st class,531210,Offices of Real Estate Agents and Brokers
10018,1996,2001 FLAVORS,2001 flavors,2001 Flavors Of America,2001 flavors america,722513,Limited-Service Restaurants
17395,2023,212 Contender eSports Gaming Center,212 contender esports gaming center,"Contender eSports, LLC",contender esports,713120,Amusement Arcades
17222,2017,24/7 AvaRe Healthcare,24 7 avare healthcare,247 Avare Franchise Ltd.,247 avare,621610,Home Health Care Services
10019,2007,24SEVEN,24seven,Bacon Whitney LLC,bacon whitney,561439,Other Business Service Centers (including Copy Shops)
16532,2014,24Seven Family Fitness & Tanning Centers,24seven family fitness tanning centers,"24SevenFamilyFitness, LLC",24sevenfamilyfitness,713940,Fitness and Recreational Sports Centers
15126,2022,2B Organized,2b organized,"2B Organized Franchise System, Inc.",2b organized,812990,All Other Personal Services
15535,2017,2Good2B Bakery,2good2b bakery,"2Good2B Franchising, LLC",2good2b,445291,Baked Goods Stores
15847,2014,2MaxTax Accounting Services,2maxtax accounting services,2MaxTax Accounting Services LLC,2maxtax accounting services,541211,Offices of Certified Public Accountants
17376,2023,2nd Family,2nd family,"2nd Family Franchising, LLC",2nd family,621610,Home Health Care Services
17024,2019,2nd Shift Sewer and Plumbing,2nd shift sewer plumbing,"2nd Shift Franchising, LLC",2nd shift,238220,Plumbing
17522,2018,2nd Time Sports,2nd time sports,"2nd Time Sports Franchise, Inc.",2nd time sports,451110,Sporting Goods Stores
16495,2016,2Toots Train Whistle Grill,2toots train whistle grill,2Toots Inc.,2toots,722511,Full-Service Restaurants
13683,2023,3 Degrees,3 degrees,"Heatwave 101, LLC",heatwave 101,812112,Beauty Salons
15536,2022,3 Monkeys Smoke Shop,3 monkeys smoke shop,"Sanna Valley, LLC",sanna valley,453991,Tobacco Stores
17852,2019,3 Natives Cafe,3 natives cafe,"3 Natives Franchising, LLC",3 natives,722515,Snack and Nonalcoholic Beverage Bars
18435,2023,3 Pepper Burrito Co.,3 pepper burrito,Burrito Pros Franchising LLC,burrito pros,722513,Limited-Service Restaurants
15274,2014,3 Potato 4,3 potato 4,"3 Potato 4, Inc.",3 potato 4,722513,Limited-Service Restaurants
18226,2023,3% Realty,3 realty,"Simply Full Service Realty, LLC",simply full service realty,531210,Offices of Real Estate Agents and Brokers
10020,2008,3 TOMATOES & A MOZZARELLA,3 tomatoes a mozzarella,3 Tomatoes & a Mozzarella Franchise Company,3 tomatoes a mozzarella,722511,Full-Service Restaurants
15922,2014,30/10 Weight Loss,30 10 weight loss,"30/10 Weight Loss, LLC",30 10 weight loss,812191,Diet and Weight Reducing Centers
10021,2023,30 Minute Hit,30 minute hit,"30 Minute Hit USA, LLC",30 minute hit,713940,Fitness and Recreational Sports Centers
19286,2023,305 Studios,305 studios,305 Fitness Franchising Co. LLC,305 fitness,713940,Fitness and Recreational Sports Centers
14721,2013,32 A YOGURT BAR/32 DEGREES YOGURT BAR,32 degrees yogurt bar,"32 A Yogurt Bar, LLC",32 a yogurt bar,722513,Limited-Service Restaurants
16326,2016,"$3,500 Flat Fee",3500 flat fee,"3500 Flat Fee Franchising, LLC",3500 flat fee,541110,Offices of Lawyers
10022,2010,360 GOURMET BURRITOS,360 gourmet burritos,360 Degree Franchise Corporation,360 degree,722513,Limited-Service Restaurants
10023,2023,360 Painting,360 painting,"360 Painting, LLC",360 painting,238320,Painting and Wall Covering Contractors
17671,2023,360 Tour Designs,360 tour designs,"360 Tour Designs Franchising, LLC",360 tour designs,531390,Other Activities Related to Real Estate
10024,2023,360clean,360clean,"360Brands, Inc.",360brands,561720,Janitorial Services
19047,2023,375 Chicken 'n Fries,375 chicken n fries,"375 Global Franchise, LLC",375 global,722513,Limited-Service Restaurants
14758,2012,3C NETWORK,3c network,3C Diamond Partners LLC,3c diamond partners,238390,Other Building Finishing Contractors
10026,2010,3D GAMES,3d games,"3D Games Franchise, LLC",3d games,452990,All Other General Merchandise Stores
10027,2011,4CATS ARTS STUDIO,4cats arts studio,"4Cats US Enterprise, Inc",4cats us enterprise,611710,Educational Support Services
18289,2023,4Ever Young,4ever young,4Ever Franchisor LLC,4ever,812191,Diet and Weight Reducing Centers
10028,2009,4REFUEL,4refuel,"4Refuel, Inc.",4refuel,812990,All Other Personal Services
10030,2004,5 BUCK PIZZA,5 buck pizza,"PADD, LLC",padd,722513,Limited-Service Restaurants
14790,2014,5 DAY KITCHENS,5 day kitchens,"5 Day Kitchens, LLC",5 day kitchens,811490,Other Personal and Household Goods Repair and Maintenance
10029,2014,5 & Diner,5 diner,"5 & Diner of North America, LLC",5 diner,722511,Full-Service Restaurants
10001,2018,$5 Pizza,5 pizza,"Zohra Enterprise, LLC",zohra enterprise,722513,Limited-Service Restaurants
14935,2013,5-Spice Asian Street Market,5 spice asian street market,"5-Spice Development, LLC",5 spice development,722511,Full-Service Restaurants
17817,2023,55Fitness,55fitness,"55 Franchising, Inc.",55 franchising,713940,Fitness and Recreational Sports Centers
15888,2014,5aSec--no longer franchising,5asec,"5aSec Puerto Rico, Inc.",5asec puerto rico,812320,Drycleaning and Laundry Services (except Coin-Operated)
15611,2006,5C Image Services,5c image services,"5C Image Services, Inc.",5c image services,448150,Clothing Accessories Stores
10032,1995,6-TWELVE CONVENIENT MART,6 twelve convenient mart,"6-Twelve Convenient Mart, Inc.",6 twelve convenient mart,445120,Convenience Stores
18201,2023,7 Brew,7 brew,"Brew Culture Franchise, LLC",brew culture,722330,Mobile Food Services
13394,2023,7-Eleven,7 eleven,"7-Eleven, Inc.",7 eleven,445120,Convenience Stores
17152,2023,7 Leaves Cafe,7 leaves cafe,"7 Leaves Franchise, LLC",7 leaves,722515,Snack and Nonalcoholic Beverage Bars
17091,2017,7 Star Auto Glass,7 star auto glass,7 Star Auto Glass Franchise Inc.,7 star auto glass,811122,Automotive Glass Replacement Shops
19447,2024,76 FENCE,76 fence,76 Franchise Group LLC,76 franchise group,238990,All Other Specialty Trade Contractors
18007,2020,7Spice Burgers and Wraps,7spice burgers wraps,"7Spice Franchisor, Inc.",7spice,722513,Limited-Service Restaurants
15706,2014,80 Pops!,80 pops,"80 Pops, LLC",80 pops,722513,Limited-Service Restaurants
17281,2023,810 Bowling,810 bowling,"810 Franchise Concepts, LLC",810 franchise concepts,713950,Bowling Centers
18072,2023,85 C Bakery Cafe,85 c bakery cafe,"WinStar 85C, LLC",winstar 85c,722513,Limited-Service Restaurants
15923,2014,9 Cent Color Copies,9 cent color copies,"9 Cent Color Copies, LLC",9 cent color copies,561439,Other Business Service Centers (including Copy Shops)
15371,2013,9021 Pho,9021 pho,"9021 Pho Licensing, LLC",9021 pho licensing,722511,Full-Service Restaurants
10034,2021,911 Driving School,911 driving school,US Driving School Franchising Corporation,us driving school,611692,Automobile Driving Schools
10035,2023,911 Restoration,911 restoration,911 Restoration Franchise Inc.,911 restoration,236118,Residential Remodelers
17092,2023,986 Pharmacy,986 pharmacy,986 Degrees Corporation,986 degrees,446110,Pharmacies and Drug Stores
10036,2023,9ROUND Kickboxing Fitness,9round kickboxing fitness,"9Round Franchising, LLC",9round,713940,Fitness and Recreational Sports Centers
10053,2022,A-1 Concrete Leveling & Foundation Repair,a 1 concrete leveling foundation repair,"A-1 Concrete Leveling, Inc.",a 1 concrete leveling,236118,Residential Remodelers
16141,2023,A Better Solution in Home Care,a better solution in home care,"ABS Franchise Services, Inc.",abs franchise services,621610,Home Health Care Services
10042,2020,A Buyer's Choice Home Inspections,a buyers choice home inspections,"Global Franchise Sales, LLC",global franchise sales,541350,Building Inspection Services
14883,2012,A Caring Home Care Services,a caring home care services,"Rod Holdings, LLC",rod holdings,621610,Home Health Care Services
16370,2015,A Cup of Organic,a cup organic,"A Cup of Organic, LLC",a cup organic,445299,All Other Specialty Food Stores
15307,2017,A Grade Ahead,a grade ahead,"A Grade Ahead Franchising, LLC",a grade ahead,611691,Exam Preparation and Tutoring
18363,2020,A La Mode Shoppes,a la mode shoppes,A La Mode Franchising LLC,a la mode,722513,Limited-Service Restaurants
15467,2013,A+ Life Family Pentagon,a life family pentagon,"A+ Life Family Pentagon, Inc.",a life family pentagon,523999,Miscellaneous Financial Investment Activities
19150,2023,A Million Monarchs,a million monarchs,A Million Monarchs Franchising LLC,a million monarchs,541921,Photography Studios
17560,2018,A Moment's Peace Salon & Day Spa,a moments peace salon day spa,A Moment's Peace Franchising Company,a moments peace,812112,Beauty Salons
16401,2015,A Painting Fiesta!,a painting fiesta,"APF Franchise, LLC",apf franchise,711510,"Independent Artists, Writers, and Performers"
16907,2023,A Place At Home,a place at home,"NorEast Franchise Group, LLC",noreast franchise group,561320,Temporary Help Services
10256,2008,A-PRO HOME INSPECTION SERVICES,a pro home inspection services,"A-PRO Franchise, Inc.",a pro,541350,Building Inspection Services
16245,2021,A Right Place for Seniors,a right place for seniors,"A Right Place for Seniors International, LLC",a right place for seniors,624120,Services for the Elderly and Persons with Disabilities
