cik,corporation,brand,fruns
1821393,"Aaron's Company, Inc.",Aaron's,10056
1398987,Anywhere Real Estate Inc.,Better Homes and Gardens Real Estate,10469
1398987,Anywhere Real Estate Inc.,Century 21,10760
1398987,Anywhere Real Estate Inc.,Coldwell Banker,10901
1398987,Anywhere Real Estate Inc.,Corcoran,17538
1398987,Anywhere Real Estate Inc.,Sotheby's International Realty,13555
1398987,Anywhere Real Estate Inc.,ERA,11288
1123596,"BAB, INC.",BIG APPLE BAGELS,10481
1123596,"BAB, INC.",MY FAVORITE MUFFIN,12483
1123596,"BAB, INC.",SWEETDUET,14752
1123596,"BAB, INC.",BREWSTER'S COFFEE,NA
1726173,Biglari Holdings Inc.,Steak n Shake,13629
1726173,Biglari Holdings Inc.,Western Sizzlin,14261
1546417,"Bloomin' Brands, Inc.",Outback Steakhouse,12659
1546417,"Bloomin' Brands, Inc.",Carrabba's Italian Grill,16464
1546417,"Bloomin' Brands, Inc.",Bonefish Grill,16498
1546417,"Bloomin' Brands, Inc.",Fleming's Prime Steakhouse & Wine Bar,company-owned
1891101,BRC Inc.,Black Rifle Coffee,18035
1113809,BUILD-A-BEAR WORKSHOP INC,Build-A-Bear,company-owned
1723580,"BurgerFi International, Inc.",BurgerFi,10645
19584,CHEMED CORP,Vitas,NA
19584,CHEMED CORP,Roto-Rooter,13238
1046311,CHOICE HOTELS INTERNATIONAL INC /DE,Comfort,10922
1046311,CHOICE HOTELS INTERNATIONAL INC /DE,Quality,13058
1046311,CHOICE HOTELS INTERNATIONAL INC /DE,Ascend Hotel Collection,10285
1046311,CHOICE HOTELS INTERNATIONAL INC /DE,Clarion,10868
1046311,CHOICE HOTELS INTERNATIONAL INC /DE,Sleep Inn,13490
1046311,CHOICE HOTELS INTERNATIONAL INC /DE,MainStay Suites,12260
1046311,CHOICE HOTELS INTERNATIONAL INC /DE,Everhome Suites,17796
1046311,CHOICE HOTELS INTERNATIONAL INC /DE,Econo Lodge,11228
1046311,CHOICE HOTELS INTERNATIONAL INC /DE,Rodeway Inn,13214
1046311,CHOICE HOTELS INTERNATIONAL INC /DE,Suburban Studios,13679
1046311,CHOICE HOTELS INTERNATIONAL INC /DE,Cambria Hotel,10684
1046311,CHOICE HOTELS INTERNATIONAL INC /DE,WoodSpring Suites,16220
1046311,CHOICE HOTELS INTERNATIONAL INC /DE,Radisson Hotels,18009
852772,DENNY'S Corp,Denny's,11081
852772,DENNY'S Corp,Keke,16714
49754,"Dine Brands Global, Inc.",Applebee's,10252
49754,"Dine Brands Global, Inc.",iHop,11858
49754,"Dine Brands Global, Inc.",Fuzzy's Taco Shop,11531
1286681,DOMINOS PIZZA INC,Domino's,11150
1804745,Driven Brands Holdings Inc.,Maaco,12231
1804745,Driven Brands Holdings Inc.,Meineke,12334
1804745,Driven Brands Holdings Inc.,Take 5,16948
1804745,Driven Brands Holdings Inc.,Fix Auto,11425
1804745,Driven Brands Holdings Inc.,1-800 Radiator,10016
1804745,Driven Brands Holdings Inc.,Abra Auto Body & Glass,10064
1804745,Driven Brands Holdings Inc.,Merlin Complete Auto Care,12343
1804745,Driven Brands Holdings Inc.,CARSTAR,10729
1866581,Dutch Bros Inc.,Dutch Bros,11199
1606366,"El Pollo Loco Holdings, Inc.",El Pollo Loco,11245
1856236,"European Wax Center, Inc.",European Wax Center,11299
1705012,"Fat Brands, Inc",Round Table Pizza,13239
1705012,"Fat Brands, Inc",Marble Slab Creamery,12275
1705012,"Fat Brands, Inc",Great American Cookies,11642
1705012,"Fat Brands, Inc",Hot Dog on a Stick,15189
1705012,"Fat Brands, Inc",Pretzelmaker,12991
1705012,"Fat Brands, Inc",Fazoli,11380
1705012,"Fat Brands, Inc",Fatburger,11379
1705012,"Fat Brands, Inc",Johnny Rockets,11981
1705012,"Fat Brands, Inc",Elevation Burger,11255
1705012,"Fat Brands, Inc",Yalla Mediterranean,17663
1705012,"Fat Brands, Inc",Buffalo's Café,10626
1705012,"Fat Brands, Inc",Hurricane Grill & Wings,11840
1705012,"Fat Brands, Inc",Ponderosa Steakhouse,12944
1705012,"Fat Brands, Inc",Bonanza Steakhouse,10559
1705012,"Fat Brands, Inc",Native Grill & Wings,12512
1705012,"Fat Brands, Inc",Twin Peaks,14517
1789940,"First Watch Restaurant Group, Inc.",First Watch,11407
